514	오마이걸 (OH MY GIRL)	여성	그룹	119036
515	하은	남성	솔로	8998
516	JBJ	남성	그룹	26195
517	센치한 하하 (하하 & 10cm)	남성	그룹	460
518	김준수	남성	솔로	55140
519	장기하와 얼굴들	남성	그룹	20816
520	형용돈죵 (정형돈 & G-DRAGON)	남성	그룹	2154
521	배다해	여성	솔로	1190
522	이보람	여성	솔로	3995
523	김완선	여성	솔로	2338
524	토이	남성	솔로	50498
525	지민	남성	솔로	137545
526	AB6IX (에이비식스)	남성	그룹	32719
527	런치 (LUNCH)	여성	솔로	2242
528	헤이즈 (Heize)	여성	솔로	152376
529	가인	여성	솔로	27472
530	정승환	남성	솔로	99954
531	양파	여성	솔로	9949
532	미료	여성	솔로	2772
533	NCT 127	남성	그룹	138331
534	원티드	남성	그룹	2572
535	TWICE (트와이스)	여성	그룹	214135
536	정준영	남성	솔로	20483
537	S.E.S.	여성	그룹	12657
538	피기돌스	여성	그룹	213
539	송지은	여성	솔로	7592
540	유산슬	남성	솔로	11849
541	티아라	여성	그룹	20747
542	배치기	남성	그룹	16357
543	마이키	남성	솔로	201
544	이지영 (빅마마)	여성	솔로	584
545	용감한 녀석들	혼성	그룹	537
546	걸스데이	여성	그룹	53837
547	DEAN	남성	솔로	159348
548	정은지	여성	솔로	63690
549	민현 (뉴이스트)	남성	솔로	59721
550	YDG	남성	솔로	7712
551	그냥노창	남성	솔로	36619
552	루나 (LUNA)	여성	솔로	10981
553	아이오아이 (I.O.I)	여성	그룹	78096
554	엠블랙	남성	그룹	5207
555	메이비 (Maybee)	여성	솔로	1837
556	WIN	남성	그룹	10239
557	대성	남성	솔로	25918
558	김나영	여성	솔로	58687
559	화려강산	여성	그룹	845
560	BIGBANG	남성	그룹	261922
561	민서	여성	솔로	16877
562	레인보우 블랙	여성	그룹	897
563	프리스타일	남성	그룹	6028
564	SUPER JUNIOR-D&E	남성	그룹	21600
565	신지훈	여성	솔로	6833
566	HYNN (박혜원)	여성	솔로	27557
567	Wanna One (워너원) - 남바완	남성	그룹	15711
568	양정승	남성	솔로	1801
569	씨야	여성	그룹	11960
570	블랙넛 (Black Nut)	남성	솔로	39992
571	별	여성	솔로	7276
572	달마시안 (DMTN)	남성	그룹	732
573	태일 (블락비)	남성	솔로	21790
574	NS 윤지	여성	솔로	5415
575	태사비애	여성	그룹	3449
576	조권	남성	솔로	3801
577	멜로디데이 (MelodyDay)	여성	그룹	6969
578	SURAN (수란)	여성	솔로	39678
579	애즈원	여성	그룹	10773
580	2YOON (포미닛 투윤)	여성	그룹	971
581	희진 (GOOD DAY)	여성	솔로	1165
582	육지담	여성	솔로	5417
583	방예담	남성	솔로	5589
584	벤	여성	솔로	82786
585	Raiden	남성	솔로	995
586	닐로(Nilo)	남성	솔로	18389
587	박봄 (Park Bom)	여성	솔로	16160
588	이수영	여성	솔로	18305
589	카더가든	남성	솔로	53432
590	양홍원	남성	솔로	32848
591	SIXC (6 crazy)	남성	그룹	1109
592	바닷길 (길 & 바다)	혼성	그룹	237
593	유두래곤	남성	솔로	1963
594	신혜성	남성	솔로	17220
595	태민 (TAEMIN)	남성	솔로	67004
596	성훈 (브라운 아이드 소울)	남성	솔로	2676
597	7 go up	여성	그룹	1515
598	MFBTY	혼성	그룹	6581
599	이승철	남성	솔로	21612
600	제이레빗(J Rabbit)	여성	그룹	50616
601	플라이 투 더 스카이	남성	그룹	35585
602	지코 (ZICO)	남성	솔로	190505
603	노라조	남성	그룹	11063
604	이소라	여성	솔로	37086
605	아이언	남성	솔로	18447
606	소녀시대-Oh!GG	여성	그룹	7524
607	펜타곤	남성	그룹	21542
608	여자친구 (GFRIEND)	여성	그룹	129614
609	신용재 (2F)	남성	솔로	32074
610	G.A.B (길 & BoA)	혼성	그룹	40
611	식케이 (Sik-K)	남성	솔로	48762
612	임영웅	남성	솔로	84053
613	이선희	여성	솔로	34825
614	치타 (CHEETAH)	여성	솔로	19563
615	백지영	여성	솔로	34758
616	김진호 (SG워너비)	남성	솔로	17646
617	길미	여성	솔로	3610
618	Ab 에비뉴	여성	그룹	359
619	트러블메이커	혼성	그룹	7123
620	제이세라	여성	솔로	8566
621	GG (박명수 & G-Dragon)	남성	그룹	1915
622	유엔	남성	그룹	2687
623	김원주 (2F)	남성	솔로	2117
624	이루펀트	남성	그룹	10075
625	GD X TAEYANG	남성	그룹	26268
626	하성운	남성	솔로	50846
627	C JAMM	남성	솔로	54481
628	양다일	남성	솔로	60902
629	써니사이드	남성	그룹	1148
630	박완규	남성	솔로	4684
631	이설아	여성	솔로	2806
632	태연 (TAEYEON)	여성	솔로	224854
633	버블 시스터즈	여성	그룹	3555
634	부활	남성	그룹	13219
635	장혜진	여성	솔로	7542
636	2LSON	혼성	그룹	16169
637	송이한	남성	솔로	3041
638	제아파이브	남성	그룹	975
639	신예영	여성	솔로	4939
640	V.O.S	남성	그룹	14440
641	니모	여성	솔로	520
642	헬로비너스	여성	그룹	5997
643	ITZY (있지)	여성	그룹	50746
644	신보라	여성	솔로	1851
645	나플라 (nafla)	남성	솔로	43206
646	하우두유둘 (유재석 & 유희열)	남성	그룹	553
647	윤혁(디셈버)	남성	솔로	973
648	윤민수(바이브)	남성	솔로	14625
649	허각	남성	솔로	58778
650	버즈	남성	그룹	62804
651	러블리즈	여성	그룹	52175
652	BewhY (비와이)	남성	솔로	88130
653	이유 갓지(GOD G) 않은 이유 (박명수, 아이유)	혼성	그룹	9788
654	선재 (snzae)	남성	솔로	3879
655	테이스티	남성	그룹	738
656	김태우	남성	솔로	11725
657	비	남성	솔로	16578
658	장우혁	남성	솔로	5065
659	정인	여성	솔로	22321
660	김현중	남성	솔로	2983
661	소유 (SOYOU)	여성	솔로	29777
662	스탠딩 에그	남성	그룹	95091
663	오담률 (김농밀)	남성	솔로	7202
664	유키스	남성	그룹	2447
665	거머리 (박명수 & 프라이머리)	남성	그룹	209
666	김효은	남성	솔로	15990
667	가비엔제이	여성	그룹	15122
668	Wanna One (워너원)	남성	그룹	235209
669	용준형	남성	솔로	40777
670	린다G	여성	솔로	3501
671	HIGH4 (하이포)	남성	그룹	2645
672	조용필	남성	솔로	9715
